text,span_text,span_start,span_end,pii_type,span_label
"Hi team,

12345678 was provided earlier as part of verification.

Regards,
Alice",12345678,10,18,BANK_ACCOUNT,0.92
"Hello,

Just a quick update: For onboarding we require 87654321.

Thanks,
Ben",87654321,55,63,BANK_ACCOUNT,0.93
"Hi team,

Customer reported the following: 4111-1111-1111-1111

Regards,
Alice",4111-1111-1111-1111,43,62,CARD_NUMBER,0.97
"Hi team,

12345678 was provided earlier as part of verification.

Regards,
Alice",12345678,10,18,BANK_ACCOUNT,0.92
"Hi team,

87654321 was provided earlier as part of verification.

Regards,
Alice",87654321,10,18,BANK_ACCOUNT,0.93
"Greetings,

Customer reported the following: 4111-1111-1111-1111

Cheers,
Admin",4111-1111-1111-1111,45,64,CARD_NUMBER,0.97
"Dear Customer,

4111-1111-1111-1111 was provided earlier as part of verification.

Sincerely,
Support",4111-1111-1111-1111,16,35,CARD_NUMBER,0.97
"Dear Customer,

98-76-54 was provided earlier as part of verification.

Sincerely,
Support",98-76-54,16,24,SORT_CODE,0.94
"Dear Customer,

Please review the attached documents. Your details are 87654321.

Sincerely,
Support",87654321,71,79,BANK_ACCOUNT,0.93
"Hi team,

We logged the identifier 98-76-54 for account review.

Regards,
Alice",98-76-54,35,43,SORT_CODE,0.94
"Dear Customer,

For onboarding we require 4111-1111-1111-1111.

Sincerely,
Support",4111-1111-1111-1111,42,61,CARD_NUMBER,0.97
"Hi team,

Here is the update for this week. Your details are 98-76-54.

Regards,
Alice",98-76-54,61,69,SORT_CODE,0.94
"Dear Customer,

We logged the identifier 4111-1111-1111-1111 for account review.

Sincerely,
Support",4111-1111-1111-1111,41,60,CARD_NUMBER,0.97
"Hello,

Just a quick update: Please review the attached documents. Your details are 4111-1111-1111-1111.

Thanks,
Ben",4111-1111-1111-1111,84,103,CARD_NUMBER,0.97
"Dear Customer,

87654321 was provided earlier as part of verification.

Sincerely,
Support",87654321,16,24,BANK_ACCOUNT,0.93
"Greetings,

Customer reported the following: 12345678

Cheers,
Admin",12345678,45,53,BANK_ACCOUNT,0.92
"Hello,

Just a quick update: We logged the identifier 12-34-56 for account review.

Thanks,
Ben",12-34-56,54,62,SORT_CODE,0.95
"Dear Customer,

Below is the item you requested: 87654321

Sincerely,
Support",87654321,49,57,BANK_ACCOUNT,0.93
"Hello,

Just a quick update: Customer reported the following: 87654321

Thanks,
Ben",87654321,62,70,BANK_ACCOUNT,0.93
"Dear Customer,

98-76-54 was provided earlier as part of verification.

Sincerely,
Support",98-76-54,16,24,SORT_CODE,0.94
"Hi team,

Let me know your thoughts. Your details are 12-34-56.

Regards,
Alice",12-34-56,54,62,SORT_CODE,0.95
"Greetings,

We discussed this in yesterday's meeting. Your details are 12-34-56.

Cheers,
Admin",12-34-56,71,79,SORT_CODE,0.95
"Dear Customer,

For onboarding we require 87654321.

Sincerely,
Support",87654321,42,50,BANK_ACCOUNT,0.93
"Greetings,

98-76-54 was provided earlier as part of verification.

Cheers,
Admin",98-76-54,12,20,SORT_CODE,0.94
"Hello,

Just a quick update: For onboarding we require 12-34-56.

Thanks,
Ben",12-34-56,55,63,SORT_CODE,0.95
"Dear Customer,

Customer reported the following: 4111-1111-1111-1111

Sincerely,
Support",4111-1111-1111-1111,49,68,CARD_NUMBER,0.97
"Greetings,

4111-1111-1111-1111 was provided earlier as part of verification.

Cheers,
Admin",4111-1111-1111-1111,12,31,CARD_NUMBER,0.97
"Greetings,

Please review the attached documents. Your details are 87654321.

Cheers,
Admin",87654321,67,75,BANK_ACCOUNT,0.93
"Hello,

Just a quick update: For onboarding we require 12345678.

Thanks,
Ben",12345678,55,63,BANK_ACCOUNT,0.92
"Hi team,

Customer reported the following: 98-76-54

Regards,
Alice",98-76-54,43,51,SORT_CODE,0.94
"Greetings,

We logged the identifier 4111-1111-1111-1111 for account review.

Cheers,
Admin",4111-1111-1111-1111,37,56,CARD_NUMBER,0.97
"Hi team,

For onboarding we require 4111-1111-1111-1111.

Regards,
Alice",4111-1111-1111-1111,36,55,CARD_NUMBER,0.97
"Dear Customer,

We discussed this in yesterday's meeting. Your details are 4111-1111-1111-1111.

Sincerely,
Support",4111-1111-1111-1111,75,94,CARD_NUMBER,0.97
"Greetings,

Customer reported the following: 12-34-56

Cheers,
Admin",12-34-56,45,53,SORT_CODE,0.95
"Dear Customer,

12345678 was provided earlier as part of verification.

Sincerely,
Support",12345678,16,24,BANK_ACCOUNT,0.92
"Hi team,

For onboarding we require 4111-1111-1111-1111.

Regards,
Alice",4111-1111-1111-1111,36,55,CARD_NUMBER,0.97
"Hello,

Just a quick update: We logged the identifier 4111-1111-1111-1111 for account review.

Thanks,
Ben",4111-1111-1111-1111,54,73,CARD_NUMBER,0.97
"Hi team,

We logged the identifier 87654321 for account review.

Regards,
Alice",87654321,35,43,BANK_ACCOUNT,0.93
"Hi team,

We logged the identifier 98-76-54 for account review.

Regards,
Alice",98-76-54,35,43,SORT_CODE,0.94
"Hello,

Just a quick update: 12-34-56 was provided earlier as part of verification.

Thanks,
Ben",12-34-56,29,37,SORT_CODE,0.95
"Hi team,

For onboarding we require 4111-1111-1111-1111.

Regards,
Alice",4111-1111-1111-1111,36,55,CARD_NUMBER,0.97
"Hi team,

98-76-54 was provided earlier as part of verification.

Regards,
Alice",98-76-54,10,18,SORT_CODE,0.94
"Greetings,

87654321 was provided earlier as part of verification.

Cheers,
Admin",87654321,12,20,BANK_ACCOUNT,0.93
"Greetings,

Below is the item you requested: 12-34-56

Cheers,
Admin",12-34-56,45,53,SORT_CODE,0.95
"Dear Customer,

For onboarding we require 87654321.

Sincerely,
Support",87654321,42,50,BANK_ACCOUNT,0.93
"Greetings,

Customer reported the following: 12-34-56

Cheers,
Admin",12-34-56,45,53,SORT_CODE,0.95
"Hello,

Just a quick update: Let me know your thoughts. Your details are 12345678.

Thanks,
Ben",12345678,73,81,BANK_ACCOUNT,0.92
"Hi team,

Below is the item you requested: 12-34-56

Regards,
Alice",12-34-56,43,51,SORT_CODE,0.95
"Hello,

Just a quick update: Please review the attached documents. Your details are 87654321.

Thanks,
Ben",87654321,84,92,BANK_ACCOUNT,0.93
"Hello,

Just a quick update: Please review the attached documents. Your details are 12345678.

Thanks,
Ben",12345678,84,92,BANK_ACCOUNT,0.92
"Hi team,

12-34-56 was provided earlier as part of verification.

Regards,
Alice",12-34-56,10,18,SORT_CODE,0.95
"Greetings,

Below is the item you requested: 12-34-56

Cheers,
Admin",12-34-56,45,53,SORT_CODE,0.95
"Greetings,

Customer reported the following: 87654321

Cheers,
Admin",87654321,45,53,BANK_ACCOUNT,0.93
"Hello,

Just a quick update: Please review the attached documents. Your details are 98-76-54.

Thanks,
Ben",98-76-54,84,92,SORT_CODE,0.94
"Dear Customer,

Customer reported the following: 98-76-54

Sincerely,
Support",98-76-54,49,57,SORT_CODE,0.94
"Hi team,

Please review the attached documents. Your details are 98-76-54.

Regards,
Alice",98-76-54,65,73,SORT_CODE,0.94
"Dear Customer,

98-76-54 was provided earlier as part of verification.

Sincerely,
Support",98-76-54,16,24,SORT_CODE,0.94
"Hello,

Just a quick update: Customer reported the following: 87654321

Thanks,
Ben",87654321,62,70,BANK_ACCOUNT,0.93
"Greetings,

We logged the identifier 87654321 for account review.

Cheers,
Admin",87654321,37,45,BANK_ACCOUNT,0.93
"Hello,

Just a quick update: Customer reported the following: 98-76-54

Thanks,
Ben",98-76-54,62,70,SORT_CODE,0.94
"Hi team,

For onboarding we require 4111-1111-1111-1111.

Regards,
Alice",4111-1111-1111-1111,36,55,CARD_NUMBER,0.97
"Hi team,

4111-1111-1111-1111 was provided earlier as part of verification.

Regards,
Alice",4111-1111-1111-1111,10,29,CARD_NUMBER,0.97
"Greetings,

Customer reported the following: 87654321

Cheers,
Admin",87654321,45,53,BANK_ACCOUNT,0.93
"Greetings,

87654321 was provided earlier as part of verification.

Cheers,
Admin",87654321,12,20,BANK_ACCOUNT,0.93
"Hi team,

We logged the identifier 98-76-54 for account review.

Regards,
Alice",98-76-54,35,43,SORT_CODE,0.94
"Dear Customer,

For onboarding we require 98-76-54.

Sincerely,
Support",98-76-54,42,50,SORT_CODE,0.94
"Greetings,

4111-1111-1111-1111 was provided earlier as part of verification.

Cheers,
Admin",4111-1111-1111-1111,12,31,CARD_NUMBER,0.97
"Hello,

Just a quick update: Below is the item you requested: 12-34-56

Thanks,
Ben",12-34-56,62,70,SORT_CODE,0.95
"Hi team,

We discussed this in yesterday's meeting. Your details are 4111-1111-1111-1111.

Regards,
Alice",4111-1111-1111-1111,69,88,CARD_NUMBER,0.97
"Greetings,

Below is the item you requested: 12345678

Cheers,
Admin",12345678,45,53,BANK_ACCOUNT,0.92
"Hi team,

Thank you for reaching out. Your details are 87654321.

Regards,
Alice",87654321,55,63,BANK_ACCOUNT,0.93
"Hi team,

Thank you for reaching out. Your details are 87654321.

Regards,
Alice",87654321,55,63,BANK_ACCOUNT,0.93
"Greetings,

Below is the item you requested: 87654321

Cheers,
Admin",87654321,45,53,BANK_ACCOUNT,0.93
"Hi team,

Thank you for reaching out. Your details are 87654321.

Regards,
Alice",87654321,55,63,BANK_ACCOUNT,0.93
"Dear Customer,

98-76-54 was provided earlier as part of verification.

Sincerely,
Support",98-76-54,16,24,SORT_CODE,0.94
"Hello,

Just a quick update: Customer reported the following: 12-34-56

Thanks,
Ben",12-34-56,62,70,SORT_CODE,0.95
"Dear Customer,

We logged the identifier 87654321 for account review.

Sincerely,
Support",87654321,41,49,BANK_ACCOUNT,0.93
"Hi team,

Below is the item you requested: 12345678

Regards,
Alice",12345678,43,51,BANK_ACCOUNT,0.92
"Hi team,

Below is the item you requested: 4111-1111-1111-1111

Regards,
Alice",4111-1111-1111-1111,43,62,CARD_NUMBER,0.97
"Dear Customer,

We logged the identifier 87654321 for account review.

Sincerely,
Support",87654321,41,49,BANK_ACCOUNT,0.93
"Hello,

Just a quick update: We logged the identifier 12345678 for account review.

Thanks,
Ben",12345678,54,62,BANK_ACCOUNT,0.92
"Greetings,

For onboarding we require 87654321.

Cheers,
Admin",87654321,38,46,BANK_ACCOUNT,0.93
"Hi team,

We logged the identifier 12-34-56 for account review.

Regards,
Alice",12-34-56,35,43,SORT_CODE,0.95
"Hello,

Just a quick update: We discussed this in yesterday's meeting. Your details are 12345678.

Thanks,
Ben",12345678,88,96,BANK_ACCOUNT,0.92
"Hello,

Just a quick update: We logged the identifier 12345678 for account review.

Thanks,
Ben",12345678,54,62,BANK_ACCOUNT,0.92
"Hello,

Just a quick update: 4111-1111-1111-1111 was provided earlier as part of verification.

Thanks,
Ben",4111-1111-1111-1111,29,48,CARD_NUMBER,0.97
"Greetings,

We discussed this in yesterday's meeting. Your details are 12-34-56.

Cheers,
Admin",12-34-56,71,79,SORT_CODE,0.95
